method,epoch,mean_source_val_macro_f1,classification_loss,alignment_loss,total_loss,domain_accuracy,val_photo_accuracy,val_photo_macro_f1,val_art_painting_accuracy,val_art_painting_macro_f1,val_cartoon_accuracy,val_cartoon_macro_f1
dann_alpha_0p25,1,0.919082680988836,0.5074221413168643,0.2988722265785576,0.8062943664626179,0.8887108482866206,0.9670658682634731,0.9609855512917106,0.8780487804878049,0.8762925734660872,0.9125799573560768,0.9199699182087105
dann_alpha_0p25,2,0.9076403355883963,0.22656299176617947,0.6771930310970697,0.903756024236353,0.6183226693135041,0.9401197604790419,0.9291931603061386,0.9,0.8939003226378991,0.8955223880597015,0.899827523821151
dann_alpha_0p25,3,0.9017745548808739,0.15394564336125985,0.5855772975418303,0.7395229405826993,0.697204436119805,0.9580838323353293,0.9481044520659674,0.8512195121951219,0.8417856048715999,0.9125799573560768,0.9154336077050542
dann_alpha_0p25,4,0.9091445627441724,0.11470302978966337,0.6299801267619826,0.744683156410853,0.6441417580995804,0.9520958083832335,0.9414562557921425,0.8609756097560975,0.8597937438357454,0.9189765458422174,0.9261836886046293
dann_alpha_0p25,5,0.9318989065261585,0.10934837098714983,0.6569557546550392,0.7663041255158237,0.6209936089750029,0.9640718562874252,0.958287156825207,0.8975609756097561,0.9070297926748453,0.9211087420042644,0.9303797700784232
dann_alpha_0p25,6,0.05066996495567924,3.464374498230217,6.247085536392326,9.711459955343834,0.47667380294993394,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208
dann_alpha_0p25,7,0.05066996495567924,1.9183171432242434,0.696604415646985,2.6149215616731563,0.5007122659530395,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208
dann_alpha_0p25,8,0.05066996495567924,1.9124736327391405,0.687671676914916,2.60014531449375,0.5352564266858957,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208
dann_alpha_0p25,9,0.19452976670397873,1.8629287542440953,0.6758277011223328,2.5387564632627697,0.5608974529637231,0.30538922155688625,0.2030372771737135,0.1878048780487805,0.12972490605110895,0.35181236673773986,0.25082711688711373
dann_alpha_0p25,10,0.2815795456758467,1.636643081648737,0.7544896610272236,2.39113274598733,0.493945885481488,0.5089820359281437,0.3127091349565659,0.3170731707317073,0.22905989635753324,0.3646055437100213,0.30296960571344095
