method,epoch,mean_source_val_macro_f1,classification_loss,alignment_loss,total_loss,domain_accuracy,val_photo_accuracy,val_photo_macro_f1,val_art_painting_accuracy,val_art_painting_macro_f1,val_cartoon_accuracy,val_cartoon_macro_f1
dann,1,0.07494463865416623,69.72277085342978,1171.7598824615025,1241.4826644716354,0.5487891887832019,0.16766467065868262,0.07817609627194923,0.15609756097560976,0.06696381355291985,0.16417910447761194,0.0796940061376296
dann,2,0.08735406317300243,2.1739564099882402,5.641083142696282,7.815039561345027,0.4936787894903085,0.10179640718562874,0.0633820576285434,0.17073170731707318,0.09599966431873112,0.18550106609808104,0.10268046757173274
dann,3,0.03650830218764789,3.3606565115798235,7.6945583912042474,11.055214926727817,0.5013354854960727,0.12275449101796407,0.03132161955691367,0.12439024390243902,0.03160830492717694,0.19402985074626866,0.04659498207885305
dann,4,0.08896049644242317,2.3912340203921,1.049895517846458,3.441129541804648,0.5386396198191195,0.18862275449101795,0.0792163860079551,0.15853658536585366,0.06338131394564803,0.2579957356076759,0.12428378937366638
dann,5,0.08691666785020462,2.1502940802492647,0.6768211353028941,2.827115218863528,0.5580484520675789,0.1407185628742515,0.08282746598624882,0.1975609756097561,0.07280563838438601,0.18550106609808104,0.10511689917997898
dann,6,0.08144432154239344,2.040251729834793,0.6787532606186011,2.7190049917269974,0.5511930381130968,0.27245508982035926,0.09199060894744895,0.22195121951219512,0.05705009276437848,0.21108742004264391,0.0952922629153529
dann,7,0.10846699346880957,1.9866357033069317,0.67596424695773,2.662599947717455,0.5623219554495608,0.3712574850299401,0.1544117647058824,0.18292682926829268,0.07564504035637101,0.21535181236673773,0.09534417534417534
dann,8,0.14788153240893678,1.9408669965898888,0.6723248742075048,2.613191875637087,0.5617877681795348,0.2994011976047904,0.14338286420414217,0.22926829268292684,0.10756288186186451,0.2260127931769723,0.19269885116080365
dann,9,0.18788011105825375,1.9126251075002882,0.6686565802138076,2.581281686440492,0.5633903324094593,0.40119760479041916,0.2679748551707136,0.21707317073170732,0.15294951936081397,0.2345415778251599,0.14271595864323372
dann,10,0.08803330568369654,1.912196564878154,0.6642667009280279,2.5764632642778578,0.5729166864075212,0.20359281437125748,0.10810769986027717,0.2048780487804878,0.07812822098536384,0.1791044776119403,0.07786399620544857
dann,11,0.16659926780732834,1.858106427722507,0.662305813569289,2.5204122402729134,0.5761218151220908,0.36826347305389223,0.20203539150907573,0.24146341463414633,0.11430756176671762,0.27078891257995735,0.1834548501461917
dann,12,0.06044871284348655,128.7448473965001,186.6623572251226,315.40720716399005,0.516826940780012,0.2694610778443114,0.07961049756560978,0.21951219512195122,0.059657718886927814,0.17270788912579957,0.04207792207792208
dann,13,0.024246414212601774,834.2448178606155,606.4444078013428,1440.6892496520638,0.5024928928185732,0.11077844311377245,0.02849441663457836,0.09268292682926829,0.028628863018842914,0.057569296375266525,0.015615962984384038
dann,14,0.036424990531281204,21.849396244073525,16.17500544613243,38.024401843038376,0.5030270826358062,0.12275449101796407,0.03123809523809524,0.12439024390243902,0.03160830492717694,0.19402985074626866,0.04642857142857143
