method,epoch,mean_source_val_macro_f1,classification_loss,alignment_loss,total_loss,domain_accuracy,val_photo_accuracy,val_photo_macro_f1,val_art_painting_accuracy,val_art_painting_macro_f1,val_cartoon_accuracy,val_cartoon_macro_f1
source_only,1,0.8893063414892097,0.5195262144263993,0.0,0.5195262144263993,0.0,0.9550898203592815,0.9485130111156134,0.8463414634146341,0.8394576791341547,0.8742004264392325,0.8799483342178611
source_only,2,0.835913199107127,0.21716495914360842,0.0,0.21716495914360842,0.0,0.9251497005988024,0.9087162487499537,0.8268292682926829,0.8048882763044143,0.7910447761194029,0.7941350722670132
source_only,3,0.8858889597702738,0.15380402848136443,0.0,0.15380402848136443,0.0,0.9281437125748503,0.9126134868775744,0.8536585365853658,0.8391922461016411,0.9040511727078892,0.9058611463316059
source_only,4,0.9236576686001078,0.12482341135568215,0.0,0.12482341135568215,0.0,0.9580838323353293,0.9511982646177995,0.8951219512195122,0.8904670401859708,0.9275053304904051,0.9293077009965532
source_only,5,0.9288422332567542,0.10328235208135472,0.0,0.10328235208135472,0.0,0.9670658682634731,0.9625747116549466,0.8878048780487805,0.882735248454905,0.9339019189765458,0.9412167396604111
source_only,6,0.9174886927608523,0.08504907786186972,0.0,0.08504907786186972,0.0,0.9550898203592815,0.9469852737682405,0.8682926829268293,0.8697966552547854,0.929637526652452,0.9356841492595311
source_only,7,0.8980542897168591,0.058923964069521405,0.0,0.058923964069521405,0.0,0.9520958083832335,0.9451032258662911,0.8560975609756097,0.8515642828752955,0.8869936034115139,0.8974953604089906
source_only,8,0.9063141463548767,0.06734690784713508,0.0,0.06734690784713508,0.0,0.9520958083832335,0.9460222184660646,0.8317073170731707,0.8302661580734073,0.9381663113006397,0.9426540625251583
source_only,9,0.9244847496709648,0.0565819846430488,0.0,0.0565819846430488,0.0,0.9580838323353293,0.9506587756479556,0.8853658536585366,0.8876697890440045,0.929637526652452,0.9351256843209341
source_only,10,0.9168669495724604,0.08030644628826507,0.0,0.08030644628826507,0.0,0.937125748502994,0.929839180649932,0.8853658536585366,0.8835842154756907,0.9317697228144989,0.9371774525917583
