method,score,closed_set_accuracy,threshold,auroc_near,auroc_far,auroc_all,known_test_acceptance,near_unknown_rejection,far_unknown_rejection,all_unknown_rejection,near_fpr_at_95_tpr,far_fpr_at_95_tpr,all_fpr_at_95_tpr
Vanilla,MSP,0.9473,0.1643550843000412,0.8127098749999999,0.8881023125,0.85040609375,0.9486,0.27875,0.395,0.336875,0.72125,0.605,0.663125
Vanilla,MLS,0.9473,-5.8229660987854,0.7962776874999999,0.8806090624999999,0.838443375,0.9496,0.295,0.465,0.38,0.705,0.535,0.62
Vanilla,Energy,0.9473,-6.031684875488281,0.7962058124999999,0.88098375,0.83859478125,0.9497,0.29625,0.4725,0.384375,0.70375,0.5275,0.615625
Vanilla,Mahalanobis,0.9473,3019.916748046875,0.7943656874999998,0.9098169999999999,0.85209134375,0.9472,0.26625,0.45625,0.36125,0.73375,0.54375,0.63875
