method,epoch,learning_rate,train_loss,train_accuracy,validation_accuracy
gcsc,80,0.01049224938121549,0.11221010516749488,0.9616444444444444,0.9404
gcsc,81,0.009549150281252642,0.10724377201928033,0.9638,0.9442
gcsc,82,0.008645971286271922,0.09851451786359151,0.9667777777777777,0.9422
gcsc,83,0.007783603724899264,0.09079570959806442,0.9695555555555555,0.945
gcsc,84,0.006962898649802819,0.08358849074840545,0.9722,0.9476
gcsc,85,0.0061846659978068265,0.0748610313322809,0.9753777777777778,0.944
gcsc,86,0.005449673790581615,0.0704473795056343,0.9766,0.9496
gcsc,87,0.004758647376699036,0.06129576767020755,0.9796444444444444,0.9462
gcsc,88,0.004112268715800957,0.05935188843144311,0.9807777777777777,0.9512
gcsc,89,0.003511175705587435,0.0518063757220904,0.9836666666666667,0.9518
gcsc,90,0.0029559615522887295,0.049773090445333054,0.9844666666666667,0.9542
gcsc,91,0.0024471741852423253,0.047500493738386364,0.9847555555555556,0.9532
gcsc,92,0.0019853157161528537,0.04363163018905454,0.9864,0.9592
gcsc,93,0.0015708419435684529,0.040674348663952614,0.9869555555555556,0.9578
gcsc,94,0.0012041619030626347,0.03611177319470379,0.9888666666666667,0.9582
gcsc,95,0.0008856374635655646,0.03520503672228919,0.9894222222222222,0.9582
gcsc,96,0.0006155829702431174,0.032203349873754714,0.9902222222222222,0.9592
gcsc,97,0.00039426493427611206,0.03292496173746056,0.9900888888888889,0.9602
gcsc,98,0.00022190176984600036,0.03425116675496102,0.9893555555555555,0.96
gcsc,99,9.866357858642213e-05,0.03305680306620068,0.9894666666666667,0.9604
gcsc,100,2.4671981713420017e-05,0.033973287979596194,0.9895333333333334,0.9596
