method,epoch,learning_rate,train_loss,train_accuracy,validation_accuracy
gcsc,1,0.1,2.251596484099494,0.18562222222222222,0.2688
gcsc,2,0.09997532801828658,1.8170469770007662,0.32097777777777775,0.426
gcsc,3,0.09990133642141358,1.5428904600991142,0.4365777777777778,0.4988
gcsc,4,0.099778098230154,1.284344958644443,0.5407333333333333,0.5992
gcsc,5,0.0996057350657239,1.0923485286924575,0.6118888888888889,0.68
gcsc,6,0.09938441702975688,0.9567775931464301,0.6643111111111111,0.6552
gcsc,7,0.09911436253643444,0.8432647143999735,0.7071111111111111,0.7566
gcsc,8,0.09879583809693737,0.7701773088667128,0.7334666666666667,0.7696
gcsc,9,0.09842915805643156,0.726547424168057,0.7463555555555555,0.7568
gcsc,10,0.09801468428384716,0.6912417423036363,0.7603111111111112,0.796
gcsc,11,0.09755282581475769,0.663476863055759,0.7701777777777777,0.7586
gcsc,12,0.09704403844771128,0.645127697330051,0.7774222222222222,0.724
gcsc,13,0.09648882429441258,0.6232150554445055,0.7867777777777778,0.8012
gcsc,14,0.09588773128419906,0.6093861824353536,0.7909555555555555,0.8294
gcsc,15,0.09524135262330098,0.5961270214186775,0.7958,0.8296
gcsc,16,0.0945503262094184,0.5767780752817789,0.8023333333333333,0.8102
gcsc,17,0.09381533400219319,0.5639292294184367,0.8056666666666666,0.7588
gcsc,18,0.0930371013501972,0.5588032208124797,0.8079333333333333,0.7444
gcsc,19,0.09221639627510078,0.5410415045314365,0.8156666666666667,0.7938
gcsc,20,0.09135402871372812,0.5370327827400632,0.8152222222222222,0.8284
gcsc,21,0.09045084971874741,0.5279228985945383,0.8186222222222223,0.8492
gcsc,22,0.08950775061878455,0.5232388727400038,0.8205333333333333,0.79
gcsc,23,0.0885256621387895,0.5110115820566813,0.8242,0.824
gcsc,24,0.08750555348152302,0.5021832902060615,0.8283777777777778,0.8166
gcsc,25,0.08644843137107061,0.5001963587019178,0.8284666666666667,0.819
gcsc,26,0.0853553390593274,0.4876999928050571,0.8332888888888889,0.8448
gcsc,27,0.08422735529643446,0.48380839729309083,0.8344666666666667,0.8236
gcsc,28,0.08306559326618262,0.48218074491288926,0.8352888888888889,0.8216
gcsc,29,0.08187119948743452,0.4742579269197252,0.8377111111111111,0.8376
gcsc,30,0.08064535268264886,0.46675130636427137,0.8404888888888888,0.851
gcsc,31,0.0793892626146237,0.45731470364464655,0.8424888888888888,0.8506
gcsc,32,0.07810416889260657,0.4508191856066386,0.8447111111111111,0.8734
gcsc,33,0.07679133974894986,0.44090579827096726,0.8488,0.8698
gcsc,34,0.0754520707875186,0.43775571316613093,0.8508444444444444,0.858
gcsc,35,0.0740876837050858,0.4305971654574076,0.8516444444444444,0.8562
gcsc,36,0.07269952498697738,0.42741919232474435,0.8541111111111112,0.8752
gcsc,37,0.07128896457825366,0.42373582365777757,0.857,0.8588
gcsc,38,0.06985739453173906,0.41406308498912386,0.8564888888888889,0.8508
gcsc,39,0.06840622763423394,0.413257590786616,0.8582666666666666,0.827
gcsc,40,0.06693689601226462,0.4048263386991289,0.8597777777777778,0.8372
gcsc,41,0.06545084971874741,0.39900568856663177,0.8640222222222222,0.8704
gcsc,42,0.06394955530196152,0.39700662378735013,0.8639555555555556,0.8522
gcsc,43,0.062434494358242776,0.3896130524105496,0.8679333333333333,0.8814
gcsc,44,0.06090716206982718,0.3800989709854126,0.8705555555555555,0.8964
gcsc,45,0.05936906572928628,0.37448783751063874,0.8706222222222222,0.8808
gcsc,46,0.05782172325201159,0.3667368310080634,0.8756,0.8412
gcsc,47,0.056266661678215264,0.3621692821237776,0.8756888888888889,0.8474
gcsc,48,0.05470541566592575,0.3592926875326369,0.8764222222222222,0.8592
gcsc,49,0.053139525976465714,0.353823917304145,0.8784222222222222,0.8906
gcsc,50,0.05157053795390645,0.34809402422904967,0.8813777777777778,0.8978
gcsc,51,0.05000000000000004,0.3384354958905114,0.8840444444444444,0.8854
gcsc,52,0.04842946204609362,0.33287372737990484,0.8869555555555556,0.8872
gcsc,53,0.04686047402353437,0.325047499095069,0.8882,0.8934
gcsc,54,0.045294584334074316,0.31803124816682604,0.8915333333333333,0.8896
gcsc,55,0.043733338321784825,0.3086687657250298,0.8946888888888889,0.8888
gcsc,56,0.042178276747988484,0.30014111958609685,0.8973333333333333,0.8864
gcsc,57,0.0406309342707138,0.2945653322007921,0.8989777777777778,0.9086
gcsc,58,0.039092837930172916,0.293782448943456,0.8997111111111111,0.907
gcsc,59,0.037565505641757285,0.2808704283926222,0.9038888888888889,0.9158
gcsc,60,0.03605044469803857,0.27106494001547493,0.9066888888888889,0.9058
gcsc,61,0.034549150281252675,0.2705003165456984,0.9076666666666666,0.9052
gcsc,62,0.03306310398773546,0.2590872460471259,0.9111555555555556,0.8956
gcsc,63,0.031593772365766146,0.25301310085190665,0.9134,0.9064
gcsc,64,0.030142605468260992,0.24241384248733522,0.9171333333333334,0.8966
gcsc,65,0.028711035421746394,0.23605255020989313,0.9189111111111111,0.8852
gcsc,66,0.027300475013022688,0.2291712897459666,0.9212666666666667,0.9124
gcsc,67,0.025912316294914254,0.21971361968782213,0.9236,0.9202
gcsc,68,0.02454792921248146,0.21371601453887093,0.9265777777777777,0.9228
gcsc,69,0.02320866025105018,0.20485439496040345,0.9303777777777777,0.924
gcsc,70,0.021895831107393487,0.19629262532393138,0.9331777777777778,0.9264
gcsc,71,0.02061073738537637,0.18693118407991197,0.9358,0.9198
gcsc,72,0.01935464731735119,0.17813024260203045,0.94,0.9284
gcsc,73,0.018128800512565532,0.167086552784178,0.9426444444444444,0.9302
gcsc,74,0.016934406733817433,0.16503316571447585,0.9425777777777777,0.9252
gcsc,75,0.01577264470356558,0.1532399050951004,0.9468222222222222,0.9288
gcsc,76,0.014644660940672643,0.14189596854315864,0.9524,0.9304
gcsc,77,0.013551568628929448,0.14142296367751228,0.9520666666666666,0.933
gcsc,78,0.012494446518477033,0.12267882806989881,0.9588888888888889,0.9362
gcsc,79,0.011474337861210555,0.12008314647277196,0.9589777777777778,0.9382
