method,epoch,learning_rate,train_accuracy,validation_accuracy,train_loss,known_ce,classifier_boundary_loss,data_placeholder_loss,mean_mix_lambda,different_class_pairs
proser,22,0.0006243449435824271,0.9997333333333334,0.9422,0.021133422663710502,0.011675663664143278,0.0065578480022271506,0.028999109472021122,0.4986597335135395,1.0
proser,23,0.0005936906572928622,0.9998,0.9442,0.018946076843845236,0.010125565744105685,0.005989425047036176,0.028310859607617287,0.5029280099340461,1.0
proser,24,0.000562666616782152,0.9998,0.9442,0.018854692329610276,0.01023749094218312,0.005920247662950053,0.026969535493249583,0.5035902511497791,1.0
proser,25,0.0005313952597646566,0.9998666666666667,0.9422,0.019644284216073258,0.010847374269029719,0.006089552572203419,0.02707357359626754,0.5008262128315188,1.0
proser,26,0.0004999999999999998,0.9998666666666667,0.9422,0.016243598476814277,0.00862170848730867,0.00522506170818815,0.023968282414981248,0.5026652776551518,1.0
proser,27,0.00046860474023534314,0.9999111111111111,0.9424,0.016326936170860954,0.008767637313708705,0.005280656808860262,0.022786420156163247,0.499376016753641,1.0
proser,28,0.00043733338321784774,0.9999111111111111,0.9418,0.017143892240710557,0.009521307109521744,0.005398657566481482,0.022239275139079175,0.5001217426562851,1.0
proser,29,0.00040630934270713756,0.9998666666666667,0.9424,0.015609608895663934,0.008386553363710515,0.005009418874000072,0.022136366153559225,0.496416568078778,1.0
proser,30,0.00037565505641757246,0.9998888888888889,0.9426,0.015412388868174854,0.00828799317770807,0.00500796752815156,0.021164280918045817,0.49988459067588503,1.0
proser,31,0.00034549150281252633,0.9998888888888889,0.9404,0.014764587208364073,0.007912735206694131,0.004773405531357805,0.02078446386043321,0.4980796341022307,1.0
proser,32,0.00031593772365766105,0.9999333333333333,0.9436,0.014278226795299402,0.007603200089678549,0.004613221359084657,0.020618052952076225,0.49959774501621723,1.0
proser,33,0.00028711035421746355,0.9999777777777777,0.9422,0.013228000518707135,0.006752801943961954,0.004467424550305374,0.020077739627926017,0.4986628298224373,1.0
proser,34,0.0002591231629491422,0.9998666666666667,0.9414,0.013892370605555532,0.00720631147652801,0.0047364017498859375,0.019496573325754565,0.5014791505580599,1.0
proser,35,0.00023208660251050145,0.9999333333333333,0.944,0.013812549572321586,0.007375188158634542,0.004539647596009838,0.018977137838109313,0.5010156120088968,1.0
proser,36,0.00020610737385376337,0.9999111111111111,0.9458,0.01416909526663155,0.0075743858357203535,0.004712881193633869,0.018818282551364973,0.4994345531714233,1.0
proser,37,0.00018128800512565502,0.9998888888888889,0.945,0.013327765170040286,0.00705643122968137,0.004440708217523273,0.018306257256137378,0.4992038189348849,1.0
proser,38,0.00015772644703565555,0.9999555555555556,0.9452,0.013665832505053417,0.007386431434662716,0.004448844897110989,0.018305562039710243,0.4999749797650359,1.0
proser,39,0.00013551568628929425,0.9999777777777777,0.9454,0.012972331296292727,0.006918236145627981,0.004240102088343437,0.018139930426100778,0.4986740979789333,1.0
proser,40,0.00011474337861210535,0.9998888888888889,0.9448,0.012241537465756252,0.006485757342571477,0.003946763258268634,0.018090168897866864,0.49895388362082566,1.0
proser,41,9.549150281252626e-05,0.9999111111111111,0.9456,0.013065836488914845,0.007091685436369682,0.004152665953866249,0.01821485062563707,0.5007193089378151,1.0
proser,42,7.783603724899252e-05,0.9998888888888889,0.9452,0.012399869919384153,0.00661424621847056,0.004013210378285625,0.017724133080760526,0.500052160160108,1.0
proser,43,6.184665997806817e-05,0.9999555555555556,0.9452,0.011810484625377947,0.006118199119968763,0.0038868420643583786,0.018054434495173733,0.498610314659097,1.0
proser,44,4.7586473766990294e-05,0.9999555555555556,0.945,0.011725641576710834,0.005989207030903675,0.003930048870229671,0.018063856698890133,0.49692876874045894,1.0
proser,45,3.5111757055874305e-05,0.9999777777777777,0.9466,0.012500869958206418,0.00659258059352975,0.004125432747638446,0.017828566186257045,0.5007655292918737,1.0
proser,46,2.4471741852423218e-05,0.9999555555555556,0.947,0.012048871950934303,0.006353981270380741,0.003918902038342573,0.01775988658879545,0.5022426930848848,1.0
proser,47,1.5708419435684507e-05,0.9999111111111111,0.9464,0.01217572396060198,0.006326117643435613,0.004058648109176746,0.017909582230706954,0.4991067652167244,1.0
proser,48,8.856374635655634e-06,0.9999333333333333,0.9454,0.01341092748043593,0.00717924500217619,0.004436144847369922,0.017955375832653688,0.5000868647951972,1.0
proser,49,3.942649342761115e-06,0.9999111111111111,0.944,0.011754542851122096,0.006063518619074867,0.003909997179686219,0.017810269962699913,0.500438679263673,1.0
proser,50,9.866357858642198e-07,0.9999333333333333,0.9446,0.012503212272845716,0.006471262865075419,0.004254746471071319,0.017772029479436405,0.5024107706479051,1.0
