method,main_comparison,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1,target_accuracy,target_macro_f1,domain_separability,target_accuracy_change_vs_source_only,source_to_target_gap
source_only,True,0.9670658682634731,0.9625747116549466,0.8878048780487805,0.882735248454905,0.9339019189765458,0.9412167396604111,0.9295908884295998,0.9288422332567542,0.6312038686688725,0.6435994140880837,0.9972527472527473,0.0,0.29838701976072735
dan,True,0.3592814371257485,0.17823427877341405,0.12439024390243902,0.04377051519908663,0.18550106609808104,0.05048543689320388,0.22305758237542284,0.09083007695523486,0.16543649783659964,0.04593477262287552,0.7211538461538461,-0.4657673708322728,0.0576210845388232
dann,True,0.40119760479041916,0.2679748551707136,0.21707317073170732,0.15294951936081397,0.2345415778251599,0.14271595864323372,0.2842707844490955,0.18788011105825375,0.1883430898447442,0.04528348070862528,0.9903846153846154,-0.4428607788241282,0.09592769460435127
cdan,True,0.9730538922155688,0.9686099510221696,0.9097560975609756,0.9106549680525763,0.9466950959488273,0.9530504294234178,0.9431683619084573,0.9441051161660545,0.757444642402647,0.7655614626676837,0.9903846153846154,0.12624077373377451,0.18572371950581035
dann_alpha_0p25,False,0.9640718562874252,0.958287156825207,0.8975609756097561,0.9070297926748453,0.9211087420042644,0.9303797700784232,0.9275805246338152,0.9318989065261585,0.6205141257317384,0.5778141271331402,0.9945054945054945,-0.010689742937134095,0.3070663989020769
dann_alpha_0p5,False,0.5958083832335329,0.4513519818978256,0.3780487804878049,0.34318557635540836,0.5415778251599147,0.48034497061357284,0.5051449962937508,0.42496084295560227,0.1738355815729193,0.1684299779650012,0.9848901098901099,-0.4573682870959531,0.3313094147208314
