method,main_comparison,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1,target_accuracy,target_macro_f1,domain_separability,target_accuracy_change_vs_source_only,source_to_target_gap,grl_max_strength
dann_alpha_0p25,False,0.9640718562874252,0.958287156825207,0.8975609756097561,0.9070297926748453,0.9211087420042644,0.9303797700784232,0.9275805246338152,0.9318989065261585,0.6205141257317384,0.5778141271331402,0.9945054945054945,-0.010689742937134095,0.3070663989020769,0.25
dann_alpha_0p5,False,0.5958083832335329,0.4513519818978256,0.3780487804878049,0.34318557635540836,0.5415778251599147,0.48034497061357284,0.5051449962937508,0.42496084295560227,0.1738355815729193,0.1684299779650012,0.9848901098901099,-0.4573682870959531,0.3313094147208314,0.5
dann,True,0.40119760479041916,0.2679748551707136,0.21707317073170732,0.15294951936081397,0.2345415778251599,0.14271595864323372,0.2842707844490955,0.18788011105825375,0.1883430898447442,0.04528348070862528,0.9903846153846154,-0.4428607788241282,0.09592769460435127,1.0
