model,epoch,val_loss,val_accuracy
resnet50,1,1.3187469244003296,0.9240000247955322
resnet50,2,0.779518187046051,0.9530000686645508
resnet50,3,0.5159971117973328,0.956000030040741
resnet50,4,0.3809499442577362,0.9610000252723694
resnet50,5,0.3051691949367523,0.9610000252723694
resnet50,6,0.25720468163490295,0.9670000672340393
resnet50,7,0.22494308650493622,0.9690000414848328
resnet50,8,0.20105548202991486,0.9690000414848328
resnet50,9,0.18328732252120972,0.9700000286102295
resnet50,10,0.16986589133739471,0.9700000286102295
resnet50,11,0.158552348613739,0.9700000286102295
resnet50,12,0.14937694370746613,0.971000075340271
resnet50,13,0.1417333334684372,0.971000075340271
resnet50,14,0.13525992631912231,0.971000075340271
resnet50,15,0.12999410927295685,0.971000075340271
resnet50,16,0.12561438977718353,0.971000075340271
resnet50,17,0.12154579162597656,0.971000075340271
vit_b16,1,0.6868669390678406,0.9420000314712524
vit_b16,2,0.30911412835121155,0.9650000333786011
vit_b16,3,0.20520977675914764,0.971000075340271
vit_b16,4,0.16412141919136047,0.9730000495910645
vit_b16,5,0.1418253481388092,0.9750000238418579
vit_b16,6,0.1275363564491272,0.9750000238418579
vit_b16,7,0.1175093725323677,0.9750000238418579
vit_b16,8,0.10993732511997223,0.9760000705718994
vit_b16,9,0.10411573946475983,0.9770000576972961
vit_b16,10,0.09943095594644547,0.9760000705718994
vit_b16,11,0.09524768590927124,0.9760000705718994
vit_b16,12,0.09210366755723953,0.9760000705718994
vit_b16,13,0.08964154124259949,0.9760000705718994
vit_b16,14,0.08734528720378876,0.9760000705718994
clip_vit_b32,1,2.2095229625701904,0.7860000133514404
clip_vit_b32,2,2.121601104736328,0.9650000333786011
clip_vit_b32,3,2.0360915660858154,0.9780000448226929
clip_vit_b32,4,1.9531306028366089,0.9830000400543213
clip_vit_b32,5,1.872814655303955,0.984000027179718
clip_vit_b32,6,1.7949345111846924,0.9820000529289246
clip_vit_b32,7,1.719786286354065,0.9820000529289246
clip_vit_b32,8,1.6471259593963623,0.9830000400543213
clip_vit_b32,9,1.577054500579834,0.9830000400543213
clip_vit_b32,10,1.5096170902252197,0.9820000529289246
