method,epoch,mean_source_accuracy,worst_source_accuracy,mean_source_macro_f1,worst_source_macro_f1,classification_loss,alignment_loss,total_loss,val_photo_accuracy,val_photo_macro_f1,val_art_painting_accuracy,val_art_painting_macro_f1,val_cartoon_accuracy,val_cartoon_macro_f1
sam,1,0.8764639943681206,0.7975609756097561,0.8759062559107393,0.7992381296271013,1.0487561435717294,0.0,1.320369315962506,0.9491017964071856,0.939781079192792,0.7975609756097561,0.7992381296271013,0.8827292110874201,0.8886995589123249
sam,2,0.9036340029909499,0.8829268292682927,0.9050881576777622,0.885228806837377,0.29773969582130766,0.0,0.5629848760162663,0.9431137724550899,0.9361729292328799,0.8829268292682927,0.885228806837377,0.8848614072494669,0.8938627369630299
sam,3,0.9291478720233878,0.8804878048780488,0.9297110289796865,0.8807955194675599,0.17083584502116483,0.0,0.38456762913200593,0.9730538922155688,0.9677397776371139,0.8804878048780488,0.8807955194675599,0.9339019189765458,0.9405977898343859
sam,4,0.9368492927297415,0.8878048780487805,0.9386805580977584,0.8918023325519732,0.12038701611101373,0.0,0.3045637261791107,0.9760479041916168,0.9713361621308291,0.8878048780487805,0.8918023325519732,0.9466950959488273,0.9529031796104729
sam,5,0.9437768178864072,0.9073170731707317,0.9437487731816719,0.906923959754908,0.09007743808727425,0.0,0.25370921570266414,0.9730538922155688,0.9678563942287431,0.9073170731707317,0.906923959754908,0.9509594882729211,0.9564659655613647
sam,6,0.9326527246095463,0.8829268292682927,0.9323090018116785,0.8824536270376276,0.06008703141019513,0.0,0.2052228259257017,0.9640718562874252,0.9585290849395962,0.8829268292682927,0.8824536270376276,0.9509594882729211,0.9559442934578116
sam,7,0.9298586040774035,0.8804878048780488,0.9299672861254221,0.8786837571833644,0.05487463573734157,0.0,0.19640799458974448,0.9730538922155688,0.9691736860592688,0.8804878048780488,0.8786837571833644,0.9360341151385928,0.9420444151336334
sam,8,0.9506847867528764,0.9195121951219513,0.9482434708256157,0.9195358523995897,0.03735493431186192,0.0,0.15657694195198196,0.9730538922155688,0.9667399825972393,0.9195121951219513,0.9195358523995897,0.9594882729211087,0.958454577480018
sam,9,0.9522085269369732,0.9219512195121952,0.9510349338653241,0.9191690687410011,0.03212442549475883,0.0,0.1502713659284716,0.9730538922155688,0.9695156873160664,0.9219512195121952,0.9191690687410011,0.9616204690831557,0.9644200455389049
sam,10,0.9562540112971831,0.926829268292683,0.9556989322224257,0.9250041480523873,0.025651458978680815,0.0,0.1347528924114811,0.9760479041916168,0.9718516346639207,0.926829268292683,0.9250041480523873,0.9658848614072495,0.9702410139509693
sam,11,0.948572146881026,0.926829268292683,0.9461914164946111,0.9237640217368595,0.018602286443078462,0.0,0.11841444691054077,0.9700598802395209,0.9642191842665717,0.926829268292683,0.9237640217368595,0.9488272921108742,0.9505910434804024
sam,12,0.9453201143607007,0.9170731707317074,0.9432508012872983,0.9145165826601358,0.017657230061411254,0.0,0.10393731398348752,0.9700598802395209,0.9638914684689333,0.9170731707317074,0.9145165826601358,0.9488272921108742,0.951344352732826
sam,13,0.944268641976539,0.9121951219512195,0.9414758797886414,0.9106688694333283,0.012910408389839916,0.0,0.10127090267701727,0.9760479041916168,0.9708280710658247,0.9121951219512195,0.9106688694333283,0.9445628997867804,0.9429306988667714
sam,14,0.9350285855041179,0.9024390243902439,0.9357424122330896,0.900083524667911,0.018080526769783598,0.0,0.11259046034453613,0.9580838323353293,0.9566452662669559,0.9024390243902439,0.900083524667911,0.9445628997867804,0.950498445764402
sam,15,0.9514586823025643,0.9073170731707317,0.9505773229577,0.9055554272628148,0.013518259566676261,0.0,0.09877220017071335,0.9790419161676647,0.9749294343228133,0.9073170731707317,0.9055554272628148,0.9680170575692963,0.9712471072874719
