method,epoch,mean_source_accuracy,worst_source_accuracy,mean_source_macro_f1,worst_source_macro_f1,classification_loss,alignment_loss,total_loss,val_photo_accuracy,val_photo_macro_f1,val_art_painting_accuracy,val_art_painting_macro_f1,val_cartoon_accuracy,val_cartoon_macro_f1
sam_rho_0p01,1,0.9024020293699356,0.8463414634146341,0.8999059076964843,0.8439310477504639,0.5193733831023813,0.0,0.6131600694587598,0.9610778443113772,0.9536115695209736,0.8463414634146341,0.8439310477504639,0.8997867803837953,0.9021751058180156
sam_rho_0p01,2,0.9211494842755075,0.8902439024390244,0.9216423601735326,0.8911660039545458,0.20183148675669843,0.0,0.27536526577881515,0.9520958083832335,0.9464904787887332,0.8902439024390244,0.8911660039545458,0.9211087420042644,0.9272705977773189
sam_rho_0p01,3,0.9197325147925586,0.8560975609756097,0.9192205592210151,0.8588267852034119,0.12190413328174216,0.0,0.18111920385406569,0.9670658682634731,0.9604774321773364,0.8560975609756097,0.8588267852034119,0.9360341151385928,0.9383574602822972
sam_rho_0p01,4,0.9229414798776258,0.8951219512195122,0.9237859546304493,0.8953376238564327,0.09679836994156432,0.0,0.15191600773021832,0.9760479041916168,0.9709077982170351,0.8951219512195122,0.8953376238564327,0.8976545842217484,0.9051124418178802
sam_rho_0p01,5,0.9283056124995834,0.8878048780487805,0.9257585268334431,0.8833566768894426,0.06984786666023274,0.0,0.11869676559208295,0.9610778443113772,0.9547665680185157,0.8878048780487805,0.8833566768894426,0.9360341151385928,0.9391523355923707
sam_rho_0p01,6,0.9374968612880847,0.9,0.9342596655559895,0.8914978945271436,0.0607238761304816,0.0,0.10639422135546994,0.9700598802395209,0.9648966241137856,0.9,0.8914978945271436,0.9424307036247335,0.9463844780270396
sam_rho_0p01,7,0.9230137987066067,0.8560975609756097,0.9199002785482059,0.8469467894108386,0.048576796522765,0.0,0.08938249796340401,0.9790419161676647,0.976448357286435,0.8560975609756097,0.8469467894108386,0.9339019189765458,0.9363056889473439
sam_rho_0p01,8,0.9419853620545067,0.9121951219512195,0.9405401518250148,0.9106938919496014,0.041794072526072264,0.0,0.08089730847387129,0.9670658682634731,0.9597994215485802,0.9121951219512195,0.9106938919496014,0.9466950959488273,0.951127141976863
sam_rho_0p01,9,0.9301505367236301,0.8878048780487805,0.9279973927973243,0.8825338560427721,0.03196401951140421,0.0,0.06417135938650802,0.9580838323353293,0.9530586792843462,0.8878048780487805,0.8825338560427721,0.9445628997867804,0.9483996430648544
sam_rho_0p01,10,0.9363138614341343,0.9024390243902439,0.9381433099463273,0.9035693563276375,0.030893481396047626,0.0,0.06346977609543042,0.9640718562874252,0.9618619257057738,0.9024390243902439,0.9035693563276375,0.9424307036247335,0.9489986478055707
sam_rho_0p01,11,0.9302723690898924,0.8975609756097561,0.9263221713490548,0.8892129477871498,0.023761379499059036,0.0,0.05261276235798241,0.9550898203592815,0.9462750563693014,0.8975609756097561,0.8892129477871498,0.9381663113006397,0.9434785098907134
sam_rho_0p01,12,0.9388499614219997,0.8951219512195122,0.9390831461090455,0.8958343248704649,0.051612909418096944,0.0,0.0967818060648552,0.9640718562874252,0.9591099526788671,0.8951219512195122,0.8958343248704649,0.9573560767590619,0.9623051607778049
sam_rho_0p01,13,0.9411527976342287,0.9024390243902439,0.9394242046792947,0.8973769720867469,0.02122330737398427,0.0,0.0491251647664697,0.9700598802395209,0.9640803777555293,0.9024390243902439,0.8973769720867469,0.9509594882729211,0.9568152641956076
