method,epoch,mean_source_val_macro_f1,classification_loss,alignment_loss,total_loss,domain_accuracy,val_photo_accuracy,val_photo_macro_f1,val_art_painting_accuracy,val_art_painting_macro_f1,val_cartoon_accuracy,val_cartoon_macro_f1
erm,1,0.8893063414892097,0.5195262144263993,0.0,0.5195262144263993,0.0,0.9550898203592816,0.9485130111156134,0.8463414634146341,0.8394576791341547,0.8742004264392325,0.8799483342178611
erm,2,0.835913199107127,0.2171649591436084,0.0,0.2171649591436084,0.0,0.9251497005988024,0.9087162487499536,0.8268292682926829,0.8048882763044143,0.7910447761194029,0.7941350722670132
erm,3,0.8858889597702738,0.1538040284813644,0.0,0.1538040284813644,0.0,0.9281437125748504,0.9126134868775744,0.8536585365853658,0.8391922461016411,0.9040511727078892,0.905861146331606
erm,4,0.9236576686001078,0.1248234113556821,0.0,0.1248234113556821,0.0,0.9580838323353292,0.9511982646177995,0.8951219512195122,0.8904670401859708,0.9275053304904052,0.9293077009965532
erm,5,0.9288422332567542,0.1032823520813547,0.0,0.1032823520813547,0.0,0.9670658682634732,0.9625747116549466,0.8878048780487805,0.882735248454905,0.9339019189765458,0.9412167396604112
erm,6,0.9174886927608524,0.0850490778618697,0.0,0.0850490778618697,0.0,0.9550898203592816,0.9469852737682404,0.8682926829268293,0.8697966552547854,0.929637526652452,0.9356841492595313
erm,7,0.8980542897168591,0.0589239640695214,0.0,0.0589239640695214,0.0,0.9520958083832336,0.9451032258662913,0.8560975609756097,0.8515642828752955,0.8869936034115139,0.8974953604089906
erm,8,0.9063141463548768,0.067346907847135,0.0,0.067346907847135,0.0,0.9520958083832336,0.9460222184660646,0.8317073170731707,0.8302661580734073,0.9381663113006397,0.9426540625251584
erm,9,0.9244847496709648,0.0565819846430488,0.0,0.0565819846430488,0.0,0.9580838323353292,0.9506587756479556,0.8853658536585366,0.8876697890440045,0.929637526652452,0.935125684320934
erm,10,0.9168669495724604,0.080306446288265,0.0,0.080306446288265,0.0,0.937125748502994,0.929839180649932,0.8853658536585366,0.8835842154756907,0.9317697228144988,0.9371774525917584
