method,main_comparison,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,worst_source_accuracy,mean_source_macro_f1,worst_source_macro_f1,source_domain_separability,sharpness_increase,sketch_accuracy,sketch_macro_f1,sketch_accuracy_change_vs_erm,mean_source_to_sketch_gap
erm,True,0.9670658682634732,0.9625747116549466,0.8878048780487805,0.882735248454905,0.9339019189765458,0.9412167396604112,0.9295908884295998,0.8878048780487805,0.9288422332567542,0.882735248454905,0.8571428571428571,0.3679295894689858,0.6312038686688725,0.6435994140880837,0.0,0.29838701976072735
dan_dg,True,0.2574850299401197,0.0585034013605442,0.2195121951219512,0.0514285714285714,0.1727078891257995,0.042077922077922,0.2165683713959568,0.1727078891257995,0.0506699649556792,0.042077922077922,0.5514950166112956,0.015745997428894,0.04072283023670145,0.011179820424134438,-0.590481038432171,0.17584554115925535
sam,True,0.9760479041916168,0.9718516346639208,0.926829268292683,0.9250041480523872,0.9658848614072496,0.9702410139509692,0.9562540112971832,0.926829268292683,0.9556989322224256,0.9250041480523872,0.8504983388704319,0.1636886727064848,0.7775515398320183,0.7890879434161672,0.14634767116314584,0.17870247146516494
