method,main_comparison,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,worst_source_accuracy,mean_source_macro_f1,worst_source_macro_f1,source_domain_separability,sharpness_increase,sketch_accuracy,sketch_macro_f1,sketch_accuracy_change_vs_erm,mean_source_to_sketch_gap,rho
sam_rho_0p01,False,0.9670658682634732,0.9597994215485802,0.9121951219512195,0.9106938919496014,0.9466950959488272,0.951127141976863,0.9419853620545068,0.9121951219512195,0.9405401518250148,0.9106938919496014,0.8338870431893688,0.2176807019859552,0.6836345125986256,0.6603417072060165,0.05243064392975316,0.25835084945588116,0.01
sam,True,0.9760479041916168,0.9718516346639208,0.926829268292683,0.9250041480523872,0.9658848614072496,0.9702410139509692,0.9562540112971832,0.926829268292683,0.9556989322224256,0.9250041480523872,0.8504983388704319,0.1636886727064848,0.7775515398320183,0.7890879434161672,0.14634767116314584,0.17870247146516494,0.05
sam_rho_0p1,False,0.9580838323353292,0.954119214967947,0.902439024390244,0.9021993259432344,0.9466950959488272,0.9513459187692118,0.9357393175581334,0.902439024390244,0.9358881532267976,0.9021993259432344,0.813953488372093,0.1301746573299169,0.6324764571137694,0.6429497057151592,0.0012725884448969715,0.303262860444364,0.1
