method,epoch,mean_source_val_macro_f1,classification_loss,alignment_loss,total_loss,domain_accuracy,val_photo_accuracy,val_photo_macro_f1,val_art_painting_accuracy,val_art_painting_macro_f1,val_cartoon_accuracy,val_cartoon_macro_f1,mean_source_accuracy,worst_source_accuracy,mean_source_macro_f1,worst_source_macro_f1
erm,1,0.8893063414892097,0.5195262144263993,0.0,0.5195262144263993,0.0,0.9550898203592816,0.9485130111156134,0.8463414634146341,0.8394576791341547,0.8742004264392325,0.8799483342178611,,,,
erm,2,0.835913199107127,0.2171649591436084,0.0,0.2171649591436084,0.0,0.9251497005988024,0.9087162487499536,0.8268292682926829,0.8048882763044143,0.7910447761194029,0.7941350722670132,,,,
erm,3,0.8858889597702738,0.1538040284813644,0.0,0.1538040284813644,0.0,0.9281437125748504,0.9126134868775744,0.8536585365853658,0.8391922461016411,0.9040511727078892,0.905861146331606,,,,
erm,4,0.9236576686001078,0.1248234113556821,0.0,0.1248234113556821,0.0,0.9580838323353292,0.9511982646177995,0.8951219512195122,0.8904670401859708,0.9275053304904052,0.9293077009965532,,,,
erm,5,0.9288422332567542,0.1032823520813547,0.0,0.1032823520813547,0.0,0.9670658682634732,0.9625747116549466,0.8878048780487805,0.882735248454905,0.9339019189765458,0.9412167396604112,,,,
erm,6,0.9174886927608524,0.0850490778618697,0.0,0.0850490778618697,0.0,0.9550898203592816,0.9469852737682404,0.8682926829268293,0.8697966552547854,0.929637526652452,0.9356841492595313,,,,
erm,7,0.8980542897168591,0.0589239640695214,0.0,0.0589239640695214,0.0,0.9520958083832336,0.9451032258662913,0.8560975609756097,0.8515642828752955,0.8869936034115139,0.8974953604089906,,,,
erm,8,0.9063141463548768,0.067346907847135,0.0,0.067346907847135,0.0,0.9520958083832336,0.9460222184660646,0.8317073170731707,0.8302661580734073,0.9381663113006397,0.9426540625251584,,,,
erm,9,0.9244847496709648,0.0565819846430488,0.0,0.0565819846430488,0.0,0.9580838323353292,0.9506587756479556,0.8853658536585366,0.8876697890440045,0.929637526652452,0.935125684320934,,,,
erm,10,0.9168669495724604,0.080306446288265,0.0,0.080306446288265,0.0,0.937125748502994,0.929839180649932,0.8853658536585366,0.8835842154756907,0.9317697228144988,0.9371774525917584,,,,
dan_dg,1,,1.9397897251650817,0.46899120586040693,2.4087809212187414,,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595683,0.17270788912579957,0.05066996495567924,0.04207792207792208
dan_dg,2,,1.9305622903709738,0.36745569695774305,2.2980179756115646,,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595683,0.17270788912579957,0.05066996495567924,0.04207792207792208
dan_dg,3,,1.9257529041705987,0.18270303529456386,2.1084559315290208,,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595683,0.17270788912579957,0.05066996495567924,0.04207792207792208
dan_dg,4,,1.9216686558519673,0.0322895652268439,1.953958216895405,,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595683,0.17270788912579957,0.05066996495567924,0.04207792207792208
dan_dg,5,,1.9177525018015478,0.009106166826951135,1.9268586691628156,,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595683,0.17270788912579957,0.05066996495567924,0.04207792207792208
dan_dg,6,,1.9181407583065522,0.02916360647717598,1.9473043644530141,,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595683,0.17270788912579957,0.05066996495567924,0.04207792207792208
sam,1,,1.0487561435717294,0.0,1.320369315962506,,0.9491017964071856,0.939781079192792,0.7975609756097561,0.7992381296271013,0.8827292110874201,0.8886995589123249,0.8764639943681206,0.7975609756097561,0.8759062559107393,0.7992381296271013
sam,2,,0.29773969582130766,0.0,0.5629848760162663,,0.9431137724550899,0.9361729292328799,0.8829268292682927,0.885228806837377,0.8848614072494669,0.8938627369630299,0.9036340029909499,0.8829268292682927,0.9050881576777622,0.885228806837377
sam,3,,0.17083584502116483,0.0,0.38456762913200593,,0.9730538922155688,0.9677397776371139,0.8804878048780488,0.8807955194675599,0.9339019189765458,0.9405977898343859,0.9291478720233878,0.8804878048780488,0.9297110289796865,0.8807955194675599
sam,4,,0.12038701611101373,0.0,0.3045637261791107,,0.9760479041916168,0.9713361621308291,0.8878048780487805,0.8918023325519732,0.9466950959488273,0.9529031796104729,0.9368492927297415,0.8878048780487805,0.9386805580977584,0.8918023325519732
sam,5,,0.09007743808727425,0.0,0.25370921570266414,,0.9730538922155688,0.9678563942287431,0.9073170731707317,0.906923959754908,0.9509594882729211,0.9564659655613647,0.9437768178864072,0.9073170731707317,0.9437487731816719,0.906923959754908
sam,6,,0.06008703141019513,0.0,0.2052228259257017,,0.9640718562874252,0.9585290849395962,0.8829268292682927,0.8824536270376276,0.9509594882729211,0.9559442934578116,0.9326527246095463,0.8829268292682927,0.9323090018116785,0.8824536270376276
sam,7,,0.05487463573734157,0.0,0.19640799458974448,,0.9730538922155688,0.9691736860592688,0.8804878048780488,0.8786837571833644,0.9360341151385928,0.9420444151336334,0.9298586040774035,0.8804878048780488,0.9299672861254221,0.8786837571833644
sam,8,,0.03735493431186192,0.0,0.15657694195198196,,0.9730538922155688,0.9667399825972393,0.9195121951219513,0.9195358523995897,0.9594882729211087,0.958454577480018,0.9506847867528764,0.9195121951219513,0.9482434708256157,0.9195358523995897
sam,9,,0.03212442549475883,0.0,0.1502713659284716,,0.9730538922155688,0.9695156873160664,0.9219512195121952,0.9191690687410011,0.9616204690831557,0.9644200455389049,0.9522085269369732,0.9219512195121952,0.9510349338653241,0.9191690687410011
sam,10,,0.025651458978680815,0.0,0.1347528924114811,,0.9760479041916168,0.9718516346639207,0.926829268292683,0.9250041480523873,0.9658848614072495,0.9702410139509693,0.9562540112971831,0.926829268292683,0.9556989322224257,0.9250041480523873
sam,11,,0.018602286443078462,0.0,0.11841444691054077,,0.9700598802395209,0.9642191842665717,0.926829268292683,0.9237640217368595,0.9488272921108742,0.9505910434804024,0.948572146881026,0.926829268292683,0.9461914164946111,0.9237640217368595
sam,12,,0.017657230061411254,0.0,0.10393731398348752,,0.9700598802395209,0.9638914684689333,0.9170731707317074,0.9145165826601358,0.9488272921108742,0.951344352732826,0.9453201143607007,0.9170731707317074,0.9432508012872983,0.9145165826601358
sam,13,,0.012910408389839916,0.0,0.10127090267701727,,0.9760479041916168,0.9708280710658247,0.9121951219512195,0.9106688694333283,0.9445628997867804,0.9429306988667714,0.944268641976539,0.9121951219512195,0.9414758797886414,0.9106688694333283
sam,14,,0.018080526769783598,0.0,0.11259046034453613,,0.9580838323353293,0.9566452662669559,0.9024390243902439,0.900083524667911,0.9445628997867804,0.950498445764402,0.9350285855041179,0.9024390243902439,0.9357424122330896,0.900083524667911
sam,15,,0.013518259566676261,0.0,0.09877220017071335,,0.9790419161676647,0.9749294343228133,0.9073170731707317,0.9055554272628148,0.9680170575692963,0.9712471072874719,0.9514586823025643,0.9073170731707317,0.9505773229577,0.9055554272628148
sam_rho_0p01,1,,0.5193733831023813,0.0,0.6131600694587598,,0.9610778443113772,0.9536115695209736,0.8463414634146341,0.8439310477504639,0.8997867803837953,0.9021751058180156,0.9024020293699356,0.8463414634146341,0.8999059076964843,0.8439310477504639
sam_rho_0p01,2,,0.20183148675669843,0.0,0.27536526577881515,,0.9520958083832335,0.9464904787887332,0.8902439024390244,0.8911660039545458,0.9211087420042644,0.9272705977773189,0.9211494842755075,0.8902439024390244,0.9216423601735326,0.8911660039545458
sam_rho_0p01,3,,0.12190413328174216,0.0,0.18111920385406569,,0.9670658682634731,0.9604774321773364,0.8560975609756097,0.8588267852034119,0.9360341151385928,0.9383574602822972,0.9197325147925586,0.8560975609756097,0.9192205592210151,0.8588267852034119
sam_rho_0p01,4,,0.09679836994156432,0.0,0.15191600773021832,,0.9760479041916168,0.9709077982170351,0.8951219512195122,0.8953376238564327,0.8976545842217484,0.9051124418178802,0.9229414798776258,0.8951219512195122,0.9237859546304493,0.8953376238564327
