method,base_validation_loss,perturbed_validation_loss,sharpness_increase,radius,examples_per_source_domain
erm,0.1951760589145124,0.5631056483834982,0.3679295894689858,0.05,32
dan_dg,1.9309873580932617,1.9467333555221558,0.015745997428894043,0.05,32
sam,0.13052823301404715,0.29421690572053194,0.1636886727064848,0.05,32
sam_rho_0p01,0.1547976415604353,0.37247834354639053,0.21768070198595524,0.05,32
sam_rho_0p1,0.21683494187891483,0.3470095992088318,0.13017465732991695,0.05,32
