method,heldout_accuracy,balanced_examples_per_domain,chance_accuracy
erm,0.8571428571428571,334,0.3333333333333333
dan_dg,0.5514950166112956,334,0.3333333333333333
sam,0.8504983388704319,334,0.3333333333333333
sam_rho_0p01,0.8338870431893688,334,0.3333333333333333
sam_rho_0p1,0.813953488372093,334,0.3333333333333333
